,date,pressure,temperature,humidity,wind_direction,rain,radiation
2017-01-01 00:10:00,1010.39,-7.48,93.8,0.82,90.6,0.0,0.0
2017-01-01 01:10:00,1009.46,-7.5,93.8,1.18,259.7,0.0,0.0
2017-01-01 02:10:00,1008.7,-6.55,92.9,1.05,218.7,0.0,0.0
2017-01-01 03:10:00,1008.0,-7.33,92.1,0.51,288.7,0.0,0.0
2017-01-01 04:10:00,1007.35,-8.73,92.3,0.94,69.11,0.0,0.0
2017-01-01 05:10:00,1006.5,-9.1,93.0,0.6,0.14,0.0,0.0
2017-01-01 06:10:00,1006.12,-9.72,92.4,0.92,58.22,0.0,0.0
2017-01-01 07:10:00,1005.66,-9.65,92.4,0.7,40.72,0.0,0.0
2017-01-01 08:10:00,1005.32,-9.33,92.5,1.16,142.9,0.0,0.0
2017-01-01 09:10:00,1005.17,-9.65,92.1,0.57,158.1,0.0,11.18
2017-01-01 10:10:00,1004.67,-8.8,92.0,0.75,73.1,0.0,31.94
2017-01-01 11:10:00,1004.0,-4.94,89.7,1.35,115.9,0.0,257.37
2017-01-01 12:10:00,1003.21,-1.99,71.8,0.81,55.64,0.0,267.44
2017-01-01 13:10:00,1002.42,-0.05,61.85,1.22,71.5,0.0,229.48
2017-01-01 14:10:00,1001.57,0.86,62.63,0.93,35.32,0.0,179.24
2017-01-01 15:10:00,1001.25,1.09,68.42,0.83,66.56,0.0,99.14
2017-01-01 16:10:00,1000.89,-2.09,77.4,0.62,251.4,0.0,3.81
2017-01-01 17:10:00,1000.69,-3.83,85.8,1.04,69.04,0.0,0.0
2017-01-01 18:10:00,1000.54,-5.22,92.5,0.7,7.19,0.0,0.0
2017-01-01 19:10:00,1000.62,-5.89,92.6,1.16,48.29,0.0,0.0
2017-01-01 20:10:00,1000.99,-5.77,94.1,1.09,60.34,0.0,0.0
2017-01-01 21:10:00,1000.94,-6.52,93.5,0.82,108.5,0.0,0.0
2017-01-01 22:10:00,1001.23,-6.61,94.3,1.31,109.5,0.0,0.0
2017-01-01 23:10:00,1001.22,-6.58,94.0,0.66,12.81,0.0,0.0
2017-01-02 00:10:00,1001.03,-4.01,92.2,1.0,69.15,0.0,0.0
2017-01-02 01:10:00,1000.85,-3.12,90.6,0.66,45.04,0.0,0.0
2017-01-02 02:10:00,1000.58,-2.32,90.9,1.03,66.86,0.0,0.0
2017-01-02 03:10:00,1000.62,-1.76,90.8,0.58,60.25,0.0,0.0
2017-01-02 04:10:00,1000.5,-1.05,80.4,0.85,98.6,0.0,0.0
